Schoolid,School Name,r1617,r1718,r1819,KG2.1,E2.1,M2.1,H2.1,KG2.2,E2.2,M2.2,H2.2,KG2.3,E2.3,M2.3,H2.3,KG3.1,E3.1,M3.1,H3.1,KG3.2,E3.2,M3.2,H3.2,KG4.1,E4.1,M4.1,H4.1,KG4.2,E4.2,M4.2,H4.2,KG5.1,E5.1,M5.1,H5.1,KG5.2,E5.2,M5.2,H5.2,P6.1,P6.2,P6.3,P6.4,P6.5
103,Islamic School for Training & Education,2,2,2,3,3,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2
104,Japanese School,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,1,5,2,3
105,Jebel Ali School,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,4,4
106,JSS International School LLC,3,3,3,5,5,5,5,5,5,5,5,4,4,5,5,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,5,5,5,3,3,3,3,4,4,4,4,4
107,JSS PRIVATE SCHOOL LLC,3,3,3,4,4,4,5,5,5,5,5,4,4,4,4,4,3,3,4,4,2,3,3,4,3,3,3,4,3,3,4,4,4,4,4,4,3,3,4,4,3,4,3,3
108,Jumeira Baccalaureate School,3,4,4,5,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
109,Jumeirah College,5,5,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,4,,,,4,5,5,5,5,5
110,Jumeirah English Speaking School,5,5,5,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,5,4,5
111,Jumeirah English Speaking School (Br),5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
113,Kent College Dubai,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Kings School Al Barsha,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
115,Kings school Dubai,5,5,5,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,,,5,5,5,5,5
116,Kings School Nad Al Sheba,3,3,4,5,5,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,5,4,0,0,5,4,0,0,5,5,0,0,4,4,0,0,4,4,4,4,5
117,Little Flowers English school,2,2,2,4,4,4,,3,3,3,,3,3,3,,2,2,2,,2,2,2,,2,2,2,,2,2,2,,4,4,4,,3,3,3,,2,1,3,2,2
118,Lycee Francais International,3,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,3,5,5,5,5,4,3,3,3,5,5,5,5,4,4,3,4,4,4,3,4,4
119,Lycee Francais International G. P. Primary,5,5,5,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,5,5,5,5
120,Lycee Francais International G. P. School ,5,5,4,0,5,4,5,0,5,3,3,0,3,3,4,0,5,5,5,0,4,4,5,0,4,5,4,0,4,3,3,0,5,5,5,0,5,5,5,5,4,5,4,5
121,Lycee Libanais Francophone Prive-Dubai,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4
122,Mirdif Private School,2,3,3,4,4,4,,4,4,5,,3,3,3,,3,3,3,,3,2,2,,3,3,3,,3,3,3,,4,4,4,,3,3,3,,3,3,4,3,4
123,Modern Skills School,2,2,2,4,3,3,4,4,4,4,5,3,3,3,4,2,2,2,3,3,2,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,2
3,MSB Private School,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,4,3
124,National Charity School-Boys and Girls,2,2,2,,4,4,4,,5,5,5,,3,3,4,,2,2,2,,1,1,1,,2,2,2,,2,2,2,,3,3,3,,3,3,3,2,1,3,2,2
125,New Academy School,2,2,2,4,3,3,3,4,4,3,4,3,2,2,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2
